wallet,in_degree,out_degree,flow_ratio,pagerank,betweenness
0x0000000000000000000000000000000000000000,779,0,0.0,0.005942629861403388,0.0
0x0000000000000000000000000000000000000802,1,0,0.0,1.6531908145179908e-05,0.0
0x000000000000000000000000000000000000dead,1,0,0.0,1.6531908145179908e-05,0.0
0x00000000000000000000000000000000000face7,59,0,0.0,0.0004366487999405548,0.0
0x0000000000000000000000000000000001664799,12,0,0.0,9.619924544681567e-05,0.0
0x00000000000000447e69651d841bd8d104bed493,1,0,0.0,1.6531908145179908e-05,0.0
0x00000000000000adc04c56bf30ac9d3c0aaf14dc,382,0,0.0,0.0028517143272328836,0.0
0x0000000000000383c84db8f4c86a095abcc206bf,0,1,1.0,8.721384880313655e-06,0.0
0x00000000000007736e2f9aa5630b8c812e1f3fc9,3,5,0.625,3.215295467491242e-05,0.0
0x0000000000000f25a072efa232d8efc0b5ce2436,0,1,1.0,8.721384880313655e-06,0.0
0x0000000000007f150bd6f54c40a34d7c3d5e9f56,1,0,0.0,1.6531908145179908e-05,0.0
0x000000000000ad05ccc4f10045630fb830b95127,3,0,0.0,2.5123483736532788e-05,0.0
0x000000000000b91b6956fead1dda24c66aa6b972,1,0,0.0,1.6531908145179908e-05,0.0
0x000000000006f291b587f39b6960dd32e31400bf,9,0,0.0,7.120557099924369e-05,0.0
0x000000000007700824831b0b57fd046faa37d558,0,1,1.0,8.721384880313655e-06,0.0
0x0000000000085d4780b73119b644ae5ecd22b376,7,0,0.0,5.948978610194431e-05,0.0
0x00000000000c2e074ec69a0dfb2997ba6c7d2e1e,2,0,0.0,2.4342431410046164e-05,0.0
0x00000000000e1a99dddd5610111884278bdbda1d,56,0,0.0,0.00044034674600734166,0.0
0x00000000000ea4af05656c17b90f4d64add29e1d,3,0,0.0,3.215295467491242e-05,0.0
0x00000000000ebccded8ad28e591c96ac3337be59,1,0,0.0,1.6531908145179908e-05,0.0
0x000000000022d473030f116ddee9f6b43ac78ba3,17,0,0.0,0.00013564238793439023,0.0
0x0000000000234a48603574189845c2d27028dad3,0,1,1.0,8.721384880313655e-06,0.0
0x0000000000300dd8b0230efcfef136ecdf6abcde,1,0,0.0,1.6531908145179908e-05,0.0
0x000000000035b5e5ad9019092c665357240f594e,1,0,0.0,1.6531908145179908e-05,0.0
0x000000000039d6d44ea4cbb58b5d2ad48ab10a1a,0,1,1.0,8.721384880313655e-06,0.0
0x00000000003b3cc22af3ae1eac0440bcee416b40,5,0,0.0,4.7774001204644925e-05,0.0
0x0000000000450702bc4f750fd1e7ecad7054c4f1,3,0,0.0,3.215295467491242e-05,0.0
0x0000000000489d89d2b233d3375c045dfd05745f,3,0,0.0,3.215295467491242e-05,0.0
