wallet,in_degree,out_degree,flow_ratio,pagerank,betweenness
0x004ea81ad3d877a88a0ea57a9a7d509de6e8790b,1,0,0.0,0.00012589762708000102,0.0
0x004ef30beac9157e04a6ae24fde7b4d3e3723003,0,1,1.0,3.919167952620397e-05,0.0
0x004fc58527e71ffe938f6b402f4f4f0eb91143b7,0,1,1.0,3.919167952620397e-05,0.0
0x005169a157a4d5f03c65ab30f42378673759cb4e,1,0,0.0,4.048695036625487e-05,0.0
0x00560a82c0100322935461998658ca5b175782ae,1,0,0.0,7.286872136752731e-05,0.0
0x0056d30df3cdaefd3a01a8fd1cf434efac7b006f,1,0,0.0,9.372674090965408e-05,0.0
0x005ff9c8133327cb085e5576e884b9e567126266,0,1,1.0,3.919167952620397e-05,0.0
0x0060f8f28077c8b403c289125c2aa76cdd1e8fd7,0,1,1.0,3.919167952620397e-05,0.0
0x006da665a8118f3d485e64b3acb2557339477506,0,1,1.0,3.919167952620397e-05,0.0
0x00775ffa5d398a462e94bc584b245c4c3f0200a0,1,0,0.0,7.286872136752731e-05,0.0
0x0078d2ac8c5e3e8ad0ab127b6692cf7efcce602b,1,0,0.0,4.0875531618270134e-05,0.0
0x008b542eb032a6aeb0c167e499f288bf8f5ab5c2,1,0,0.0,7.286872136752731e-05,0.0
0x008ec9b86bfaaef02be3ea4f6b891ba98e698f7a,1,0,0.0,7.286872136752731e-05,0.0
0x008fcde8aed160b54962d68cf6021e9ea087c1b7,1,0,0.0,6.139686443508579e-05,0.0
0x0093dd20f7d95eae35a6cbb5bd133cf6f23c0270,0,1,1.0,3.919167952620397e-05,0.0
0x0096913d68a000311266250f0000000000e04c00,1,0,0.0,7.286872136752731e-05,0.0
0x009730a67ee55ff9fa37c68c07c334e565c92360,1,0,0.0,7.638369740700678e-05,0.0
0x0097b9cfe64455eed479292671a1121f502bc954,0,1,1.0,3.919167952620397e-05,0.0
0x00a0be1bbc0c99898df7e6524bf16e893c1e3bb9,1,0,0.0,7.286872136752731e-05,0.0
0x00a2458091794abaf2ed3925a185a1784ee2db89,1,0,0.0,7.286872136752731e-05,0.0
0x00a739ba820c0f98ac54ffd8284bfa12bca9194b,0,1,1.0,3.919167952620397e-05,0.0
0x00a7e9711b2b9931b3075feb17e414c1fae05a48,1,0,0.0,4.096415541258941e-05,0.0
0x00b3393e44775615e68bb6ab48f9557b4c00b7eb,1,0,0.0,7.286872136752731e-05,0.0
0x00b6027679ba58c5e5bb77dbb8994fb867534555,0,1,1.0,3.919167952620397e-05,0.0
0x00bdb5699745f5b860228c8f939abf1b9ae374ed,0,2,1.0,3.919167952620397e-05,0.0
0x00c1bb87a4fd46d866a83a2a9d6cc43b3e49430c,0,1,1.0,3.919167952620397e-05,0.0
0x00c83aecc790e8a4453e5dd3b0b4b3680501a7a7,2,0,0.0,0.00010654576320885066,0.0
0x00c980f967b3e94e471c94d226da998e1eb55a33,0,1,1.0,3.919167952620397e-05,0.0
0x00db75de0be255a135449378191bc01a5411cb51,0,1,1.0,3.919167952620397e-05,0.0
0x00ddf301e3360fc60d958f339a3c04e4d1fffc46,0,1,1.0,3.919167952620397e-05,0.0
0x00e3a026d5b6de85390239d9fa8dae42ba54e920,1,0,0.0,0.00012589762708000102,0.0
0x00e4b5a27b644ddc50f7f63c7df62468adcc0ecd,0,1,1.0,3.919167952620397e-05,0.0
0x00e88d3b13f69a54928afd47205b434c899331d3,0,1,1.0,3.919167952620397e-05,0.0
0x00ef142a616980599a6c3fefc4aca36e761738b9,0,1,1.0,3.919167952620397e-05,0.0
0x00f53e8dd51fc21c6999f3e8e57dd999c3e4047d,1,0,0.0,7.286872136752731e-05,0.0
0x00fa0eb45c5f48d40df407b82751ab867daec949,1,1,0.5,0.00012589762708000102,1.3224668757533819e-08
0x00fa7159d70b20de42e4f71cc373717b7d67ec95,0,1,1.0,3.919167952620397e-05,0.0
0x0103ef28e2ba166b13479bce997832687d64d047,1,0,0.0,7.286872136752731e-05,0.0
0x010484ce528825c44273ef8ec32b03d29bc1b74e,1,0,0.0,7.286872136752731e-05,0.0
0x0104cb63d829142114ba5542ef7046099400eea1,0,2,1.0,3.919167952620397e-05,0.0
0x010509d460d4aa9c56e8628af25e2d6377788774,2,0,0.0,0.00010654576320885066,0.0
0x0105b8006f62190fd4b8b8ef1ec0f1fcfdcbfb4d,0,1,1.0,3.919167952620397e-05,0.0
