tx_hash,from,to,amount,block_number,block_time
0x007eb5e368105d5bbed5b0169681c72d59af319d63e9445605edd4c5ae79c9de,0x1f9314233e115ac3dac16107717d4f9c56ce30d5,0xa5dc2bac7612b702fe77dc08e3d7ebb23adc75e8,321305355436285,18908957,2024-01-01 00:12:59.000 UTC
0x006e8b81604e20f21242dabb7f9750801b5be7aee92aff679c5453bf35ef1687,0x5ed5ba77b4b71d132e32a17f9674e47005c26f57,0x0c491c57c81419d6814a2cde6c03727cc2b0c094,438080093044300,18908957,2024-01-01 00:12:59.000 UTC
0x0007895032120f407800958e5f448043907c0061520e17b6b0280a3ec6628628,0x610b943b47c4d0580502443b9d9e1465cd748595,0xdac17f958d2ee523a2206206994597c13d831ec7,0,18908963,2024-01-01 00:14:11.000 UTC
0x005b9198f06a4f63d758959177a25146aa5521ca189ceacb443e398604faf036,0xc360159c1692938bc58a944a594486a38d9d2aae,0xdac17f958d2ee523a2206206994597c13d831ec7,0,18908968,2024-01-01 00:15:11.000 UTC
0x00264cf5ba6e98a68e3104fd22135b98e8da10a7ad6fd94e441457ca1447810d,0x733dd6220476118afaa16a40daf8630d032867c9,0x0000000000c2d145a2526bd8c716263bfebe1a72,0,18908970,2024-01-01 00:15:35.000 UTC
0x00143e1c71da79f27b75018177e7b1fb0b762562e22c6ee9d1919cfe97441f21,0x19dee8b644bcbba97f994bab5be2eed6646725b8,0x88b6db67000f8ef34ae1a34542b2e4b43b87d9b7,0,18908970,2024-01-01 00:15:35.000 UTC
0x005bc6f8f751ad8a107cae04a3fdecea7a76d4954fd437f6ac4f9262c24095cc,0x3871010d187b6d8c8178391cb94d83e91f7f86c9,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,65649239045414000,18908973,2024-01-01 00:16:23.000 UTC
0x004f1804499810d02784df1b43015029d5295d706024e1e9bc187413565cf486,0x9e4a122605c06727dce2dc25ed590ebc55ba4411,0x1a0ad011913a150f69f6a19df447a0cfd9551054,10000000000000000,18908975,2024-01-01 00:16:47.000 UTC
0x0020511505f9ecd6042b159828cb83d2ca2d32be256332e795f4bcaff571098f,0x7b6911a65ab934740a98b31947a7af597bdb093d,0xdac17f958d2ee523a2206206994597c13d831ec7,0,18908977,2024-01-01 00:17:11.000 UTC
0x0080795f37ffbe8db11ec206d63b92c1db3743fff209a70924fc5e4b7d34665a,0xef8801eaf234ff82801821ffe2d78d60a0237f97,0xdac17f958d2ee523a2206206994597c13d831ec7,0,18908984,2024-01-01 00:18:35.000 UTC
0x008b93ce00cef80c58c6aac9f57ff28190cbf0da96ceccd18c25d6ced8e02731,0x3d55ccb2a943d88d39dd2e62daf767c69fd0179f,0xdac17f958d2ee523a2206206994597c13d831ec7,0,18908984,2024-01-01 00:18:35.000 UTC
0x006af742e2bffa2d5cfc9990d0d05bda1ac669eea2037b9456c7de3a15cf32a8,0x45fab03bbe446f988c34d7c97b5a48415259518a,0x150f94b44927f078737562f0fcf3c95c01cc2376,13547610012602632,18908986,2024-01-01 00:18:59.000 UTC
0x0067f40dd7097d304aea0d1ab309f230f298896bbd61d6038304d947006a118b,0x218d75b17f491793a96ab4326c7875950359a80c,0x12d2d1bed91c24f878f37e66bd829ce7197e4d14,0,18908987,2024-01-01 00:19:11.000 UTC
0x005af562d84cc7bf7ba92c7317ac3aa408d72ab513da89fad60aa7ecf1b10c1e,0x7c195d981abfdc3ddecd2ca0fed0958430488e34,0x6f1623e75bce62df907516c815e70c36f2ddd037,876071000000000,18908992,2024-01-01 00:20:11.000 UTC
0x004efc8ababff841ddbc153dce04538b3d0e9faf45d3d317e2fca640e5452638,0x9770cd46853649e0f49ae6224a14a85092a34c40,0x0016c0d0343e8f2c3a7b6a51606b84b1545ec606,577284000000000,18908992,2024-01-01 00:20:11.000 UTC
0x007713048156b20076a06c9e2521a8f657f3fa3990959961ce4aa3d72b54d477,0x89a6d7910c1cc6eb04e5f5ab3214ac5751987157,0xdac17f958d2ee523a2206206994597c13d831ec7,0,18908994,2024-01-01 00:20:35.000 UTC
0x006f29f65a7e17329f771ff6746a7b0b1be1905b9dd2380556f22c004c91916a,0xeb2629a2734e272bcc07bda959863f316f4bd4cf,0xa6e1c80bfe49c76716e28c6f6d8c973a4f16b070,979816250000000,18908997,2024-01-01 00:21:23.000 UTC
0x00348bc861a24f693b06772babfbe6d94ae29c2ba1e512ff205134d148c39be2,0xeca2e2d894d19778939bd4dfc34d2a3c45e96456,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,3881984,18909004,2024-01-01 00:22:47.000 UTC
0x001dcdf28fc91141450514ec4f76b09038284b805a7bf64700b824a9cece2821,0xd02c2a89680232afb78cd9a8be046c8d3e4d9821,0xa26e73c8e9507d50bf808b7a2ca9d5de4fcc4a04,223257954252688000,18909004,2024-01-01 00:22:47.000 UTC
0x002c2c98af1d341d583052b0c148110face42173716a6fe37897eba6db6b5761,0x139090943a9f64f0259bc7a1725d1102f2e1cedd,0x32400084c286cf3e17e7b677ea9583e60a000324,1269151281628477,18909008,2024-01-01 00:23:35.000 UTC
0x0089d047df7b19e5cde0fc5849418a12903cc5f385024b2808b17e206f1b7b12,0xb046fdfc77d35269b05f90a712f3406d79c4f16e,0xc58fc68932b9f4a74e8107bd63271ccab1740eb5,18305000000000000,18909008,2024-01-01 00:23:35.000 UTC
0x0031e557556db96ee9a912de0e09a5307eb9dd72864c6dc8074034f52f80a5c3,0x355b776fe324d00fd98191812b61f76121e21534,0x283af0b28c62c092c9727f1ee09c02ca627eb7f5,4801018373249492,18909015,2024-01-01 00:24:59.000 UTC
0x0063a2cf36cb58e1223623993ce3184be7a804313c1d5ba72d1b702aa7bf5fc4,0xb5d85cbf7cb3ee0d56b3bb207d5fc4b82f43f511,0xc40170333d71eb953a32151d56a91674a95b1a1b,396650343673046017,18909016,2024-01-01 00:25:11.000 UTC
0x0029128d5b626a8e44882cefe32c614ea1f60e2ebd742107845cc0039349f5ba,0x3d8fc1cffaa110f7a7f9f8bc237b73d54c4abf61,0x111111111117dc0aa78b770fa6a738034120c302,0,18909020,2024-01-01 00:26:11.000 UTC
0x00074b935055e11a296b96aac895f76b597a9f10f5fc934eec5a67b33da6ffad,0x7b24df0a61e7d2a76df2c0ad2f1f21837391db6e,0xbf94f0ac752c739f623c463b5210a7fb2cbb420b,183836460000000000,18909023,2024-01-01 00:26:47.000 UTC
0x0092dcbc5f8a3e0f58353848319c01d01b1e68e61427b7049c359c99891a4c4d,0x787b8840100d9baadd7463f4a73b5ba73b00c6ca,0xc00dd2af8e88a1acc9bda5ce289d91035fddf7e4,39060998188312456,18909023,2024-01-01 00:26:47.000 UTC
0x0088bb1bb21405090c56ccaf0a4a876108120dd1cdb87999f4e0e0c0ea059b85,0x6f271b5f8e76eb5c9b2c0133e77bf540dc905906,0x4dbd4fc535ac27206064b68ffcf827b0a60bab3f,1000000000000000000,18909031,2024-01-01 00:28:23.000 UTC
0x001072d2f545e5af3b22396d0e54df4c8a1ab41388edba6112ec783c06900ec6,0x9956696cf68978d55203f9d6b49464556a5cb8e2,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,70000000000000000,18909032,2024-01-01 00:28:35.000 UTC
